SECCIÓN;CÓDIGO DA TIPOLOXÍA DE ENTIDADE;TIPOLOXÍA DA ENTIDADE;NÚMERO DE REXISTRO;NOME;ENDEREZO;CAPITAL OU SEDE DA ENTIDADE;CÓDIGO POSTAL;CÓDIGO INE DA PROVINCIA;PROVINCIA;CÓDIGO INE DO CONCELLO;CONCELLO;DATA DE INSCRICIÓN NO REXISTRO;SUPERFICIE
Entidade local non territorial;MC;Mancomunidade;2002/001;MANCOMUNIDADE DE MUNICIPIOS DA COMARCA DE COMPOSTELA;PRAZA DO OBRADOIRO, S/N. PAZO DE RAXOI;SANTIAGO DE COMPOSTELA;15705;15;A CORUÑA;;;31/05/2002;0,00;
Entidade local non territorial;MC;Mancomunidade;2003/001;MANCOMUNIDADE DE TERRAS DE DEZA;NO CONCELLO ONDE RESIDA A PRESIDENCIA;NO CONCELLO ONDE RESIDA A PRESIDENCIA;36000;36;PONTEVEDRA;;;03/10/2003;0,00;
Entidade local non territorial;MC;Mancomunidade;2023/001;MANCOMUNIDADE O CARBALLIÑO-MASIDE;PRAZA MAIOR, 1;O CARBALLIÑO;32500;32;OURENSE;;;03/03/2023;0,00;
Entidade local territorial;MU;Municipio;2000/001;CAPELA, A;AS NEVES, 46 A;AS NEVES;15613;15;A CORUÑA;15018;CAPELA, A;14/04/2000;58,97;
Entidade local territorial;MU;Municipio;2000/002;MACEDA;RUA DO TOURAL, 2;MACEDA;32700;32;OURENSE;32043;MACEDA;26/04/2000;102,00;
Entidade local territorial;MU;Municipio;2000/003;POBRA DO CARAMIÑAL, A;GASSET, Nº28;A POBRA DO CARAMIÑAL;15940;15;A CORUÑA;15067;POBRA DO CARAMIÑAL, A;26/04/2000;34,00;
Entidade local territorial;MU;Municipio;2000/004;MUGARDOS;AVDA. DE GALICIA, 45;MUGARDOS;15620;15;A CORUÑA;15051;MUGARDOS;26/04/2000;12,80;
Entidade local territorial;MU;Municipio;2000/005;MAÑÓN;PRAZA DO MESON, 1  - O BARQUEIRO;CAIÓN-MAÑÓN;15337;15;A CORUÑA;15044;MAÑÓN;26/04/2000;82,20;
Entidade local territorial;MU;Municipio;2000/006;PONTES DE GARCÍA RODRÍGUEZ, AS;RUA DO CONCELLO S/N;AS PONTES DE GARCÍA RODRÍGUEZ;15320;15;A CORUÑA;15070;PONTES DE GARCÍA RODRÍGUEZ, AS;26/04/2000;250,55;
Entidade local territorial;MU;Municipio;2000/007;MEIRA;PRAZA DO CONCELLO S/N;MEIRA;27240;27;LUGO;27029;MEIRA;26/04/2000;46,50;
Entidade local territorial;MU;Municipio;2000/008;GUITIRIZ;XERAL FRANCO, 4;VILA DE GUITIRIZ;27300;27;LUGO;27022;GUITIRIZ;26/04/2000;278,00;
Entidade local territorial;MU;Municipio;2000/009;SARREAUS;RUA OURENSE, 40;SARREAUS;32631;32;OURENSE;32078;SARREAUS;26/04/2000;77,09;
Entidade local territorial;MU;Municipio;2000/010;CERDIDO;FELGOSAS, S/N - A BARQUEIRA;VILA DA IGREXA;15569;15;A CORUÑA;15025;CERDIDO;26/04/2000;53,40;
Entidade local territorial;MU;Municipio;2000/011;FRIOL;PRAZA DE ESPAÑA, S/N;FRIOL;27220;27;LUGO;27020;FRIOL;05/03/2000;292,35;
Entidade local territorial;MU;Municipio;2000/012;RAMIRÁS;O PICOUTO;O PICOUTO;32810;32;OURENSE;32068;RAMIRÁS;05/03/2000;40,38;
Entidade local territorial;MU;Municipio;2000/013;GROVE, O;PRAZA DO CORGO, 1;O GROVE;36980;36;PONTEVEDRA;36022;GROVE, O;03/05/2000;22,00;
Entidade local territorial;MU;Municipio;2000/014;DODRO;TALLOS;TALLÓS;15981;15;A CORUÑA;15033;DODRO;05/03/2000;36,00;
Entidade local territorial;MU;Municipio;2000/015;PONTECESO;RUA DO CONCELLO, 18;PONTECESO;15110;15;A CORUÑA;15068;PONTECESO;05/03/2000;87,69;
Entidade local territorial;MU;Municipio;2000/016;XERMADE;PRAZA DO CONCELLO, S/N;XERMADE;27883;27;LUGO;27021;XERMADE;03/05/2000;167,00;
Entidade local territorial;MU;Municipio;2000/017;SOUTOMAIOR;RUA ALEXANDRE BOVEDA, 8;RIAL;36691;36;PONTEVEDRA;36053;SOUTOMAIOR;05/03/2000;25,09;
Entidade local territorial;MU;Municipio;2000/018;CAMPO LAMEIRO;BERNARDO SAGASTA - A LAGOA;A LAGOA;36110;36;PONTEVEDRA;36007;CAMPO LAMEIRO;03/05/2000;63,93;
Entidade local territorial;MU;Municipio;2000/019;CAMARIÑAS;PRAZA DA INSUELA, 57;CAMARIÑAS;15123;15;A CORUÑA;15016;CAMARIÑAS;05/03/2000;51,90;
Entidade local territorial;MU;Municipio;2000/020;COIRÓS;CRUCEIRO, S/N;COIRÓS;15316;15;A CORUÑA;15027;COIRÓS;05/03/2000;32,79;
Entidade local territorial;MU;Municipio;2000/021;VALADOURO, O;FEIRA NOVA, 1  -  FERREIRA;FERREIRA;27770;27;LUGO;27063;VALADOURO, O;05/05/2000;110,50;
Entidade local territorial;MU;Municipio;2000/022;ORTIGUEIRA;PRAZA ISABEL II, S/N;SANTA MARTA DE ORTIGUEIRA;15330;15;A CORUÑA;15061;ORTIGUEIRA;18/05/2000;210,07;
Entidade local territorial;MU;Municipio;2000/023;VILAMARÍN;AVDA. SANTIAGO APOSTOL, 5;VILAMARIN;32101;32;OURENSE;32087;VILAMARÍN;18/05/2000;56,09;
Entidade local territorial;MU;Municipio;2000/024;LARACHA, A;PRAZA DO CONCELLO S/N;LARACHA;15000;15;A CORUÑA;15041;LARACHA, A;18/05/2000;122,69;
Entidade local territorial;MU;Municipio;2000/025;CELANOVA;PRAZA MAIOR,1;CELANOVA;32000;32;OURENSE;32024;CELANOVA;18/05/2000;67,00;
Entidade local territorial;MU;Municipio;2000/026;BARALLA;RÚA EVARISTO CORREA CALDERÓN,58;BARALLA;27000;27;LUGO;27901;BARALLA;18/05/2000;141,00;
Entidade local territorial;MU;Municipio;2000/027;LOUSAME;PORTOBRAVO, 1;PORTOBRAVO;15214;15;A CORUÑA;15042;LOUSAME;18/05/2000;93,00;
Entidade local territorial;MU;Municipio;2000/028;PARAMO, O;TORRE, 1;O PARAMO;27000;27;LUGO;27043;PÁRAMO, O;18/05/2000;74,80;
Entidade local territorial;MU;Municipio;2000/029;POIO;PRAZA DO MOSTEIRO, 1;CONVENTO;36994;36;PONTEVEDRA;36041;POIO;18/05/2000;34,00;
Entidade local territorial;MU;Municipio;2000/030;ALFOZ;A SEARA, S/N;A SEARA;27773;27;LUGO;27002;ALFOZ;18/05/2000;78,00;
